"category","subcategory","img","title","link","price"
"Fruits and vegetables","mushrooms","https://src.zakaz.atbmarket.com/cache/photos/5415/catalog_list_5415.jpg","Гриби Печериці 0,5 кг 1 гат","https://www.atbmarket.com/product/gribi-pecerici-05-kg-1-gat","79.90"
"Fruits and vegetables","mushrooms","https://src.zakaz.atbmarket.com/cache/photos/6/catalog_list_6.png","Гриби Печериці","https://www.atbmarket.com/product/gribi-pecerici-1gat","139.95"
"Fruits and vegetables","nuts","https://src.zakaz.atbmarket.com/cache/photos/70731/catalog_list_70731.jpg","Журавлина 125г Своя лінія сушена половинки","https://www.atbmarket.com/product/zuravlina-125g-svoa-linia-susena-polovinki","52.70"
"Fruits and vegetables","nuts","https://src.zakaz.atbmarket.com/cache/photos/21209/catalog_list_21209.jpg","Асорті 125г Своя Лінія фруктово-горіхов","https://www.atbmarket.com/product/asorti-125g-svoa-linia-fruktovo-gorihov","46.90"
"Fruits and vegetables","nuts","https://src.zakaz.atbmarket.com/cache/photos/2824/catalog_list_2824.jpg","Виноград сушений 125г Розумний вибір кишмиш","https://www.atbmarket.com/product/vinograd-susenij-125g-rozumnij-vibir-kismis","20.60"
"Fruits and vegetables","nuts","https://src.zakaz.atbmarket.com/cache/photos/70735/catalog_list_70735.jpg","Асорті 125г Своя Лінія горіхове","https://www.atbmarket.com/product/asorti-125g-svoa-linia-gorihove","89.90"
"Fruits and vegetables","nuts","https://src.zakaz.atbmarket.com/cache/photos/70727/catalog_list_70727.jpg","Ядра 75г Своя Лінія горіхів Кеш'ю несмажені","https://www.atbmarket.com/product/adra-75g-svoa-linia-gorihiv-kesu-nesmazeni","53.30"
"Fruits and vegetables","nuts","https://src.zakaz.atbmarket.com/cache/photos/70729/catalog_list_70729.jpg","Ядро мигдалю 75г Своя лінія сушене","https://www.atbmarket.com/product/adro-migdalu-75g-svoa-linia-susene","39.80"
"Fruits and vegetables","nuts","https://src.zakaz.atbmarket.com/cache/photos/70737/catalog_list_70737.jpg","Абрикоси сушені 200г Своя лінія","https://www.atbmarket.com/product/abrikosi-suseni-200g-svoa-linia","94.60"
"Fruits and vegetables","nuts","https://src.zakaz.atbmarket.com/cache/photos/63435/catalog_list_63435.jpg","Ядра 125г Розумний вибір бобів арахісу смажені","https://www.atbmarket.com/product/adra-125g-rozumnij-vibir-bobiv-arahisu-smazeni","28.50"
